Rule,Notes,Error
win_software_atera_rmm_agent_install,needs application logs,Failed to resolve entity 'windows'
win_system_application_sysmon_crash,needs application popup parsing,'where' operator: Failed to resolve column or scalar expression named 'Caption'
win_susp_dns_config,needs dns-server logs,Failed to resolve entity 'windows'
win_mssql_add_sysadmin_account,needs mssqlserver logs,Failed to resolve entity 'windows'
win_mssql_xp_cmdshell_audit_log,needs mssqlserver logs,Failed to resolve entity 'windows'
win_ntfs_vuln_exploit,needs ntfs logs,'where' operator: Failed to resolve column or scalar expression named 'Origin'
win_codeintegrity_failed_driver_load,Needs parsing of code integrity event log,Failed to resolve entity 'windows'
win_exchange_proxyshell_remove_mailbox_export,needs parsing of exchange logs,Failed to resolve entity 'windows'
win_exchange_transportagent_failed,needs parsing of exchange logs,Failed to resolve entity 'windows'
win_set_oabvirtualdirectory_externalurl,needs parsing of exchange logs,Failed to resolve entity 'windows'
sysmon_susp_remote_thread,needs parsing of sourceparentimage field,'where' operator: Failed to resolve scalar expression named 'SourceParentImage'
win_defender_history_delete,needs parsing of windows defender log,Failed to resolve entity 'windows'
win_defender_psexec_wmi_asr,needs parsing of windows defender log,Failed to resolve entity 'windows'
win_defender_tamper_protection_trigger,needs parsing of windows defender log,Failed to resolve entity 'windows'
win_defender_threat,needs parsing of windows defender log,Failed to resolve entity 'windows'
win_exploit_cve_2021_1675_printspooler,needs printer service logs,Failed to resolve entity 'windows'
win_hybridconnectionmgr_svc_running,needs servicebus-client logs,Failed to resolve entity 'windows'
driver_load_vuln_avast_anti_rootkit_driver,failed to convert,Backend does not support map values of type <class 'bool'>
win_mssql_xp_cmdshell_change,do not ingest sql logs,
win_mssql_disable_audit_settings,do not ingest sql logs,
win_alert_mimikatz_keywords,no keyword support,Left and right side of the logical expression must be Boolean
win_susp_sam_dump,parsing error,Left and right side of the logical expression must be Boolean
win_defender_alert_lsass_access,needs windefend parsing,
win_vul_cve_2021_41379,needs application logs,
posh_ps_susp_invocation_specific,parsing error,Query could not be parsed at 'https'
win_exchange_cve_2021_42321,needs exchange logs,
win_mssql_sp_procoption_set,needs sql logs,
file_event_win_powershell_exploit_scripts,query too long,
win_susp_msmpeng_crash,needs application event logs,
win_apt_gallium,needs dns server logs,
win_vul_cve_2020_0688,needs application logs,
proc_creation_win_dnscat2_powershell_implementation,parsing issue,Field mappings in aggregations must be single valued
win_exploit_cve_2021_1675_printspooler_operational,parsing issue,Left and right side of the logical expression must be Boolean
win_exchange_proxyshell_mailbox_export,needs exchange logs,
